espece	sous-famille	traitement	plante	Phe	Dap	Put	AcCad	NAcHSpd	Oct	MTyr	Tyr	Spd	HSpd	Dop	Spm
S	S5	S	36	654,64	1368,4	118,14	213,04	182,66	106,59	86,05	5414,34	294,59	92,23	733,66	663,17
S	S5	S	37	600,32	952,85	79,01	199,96	178,53	388,74	80,94	3438,86	145,25	64	585,5	929,67
S	S5	S	38	402,64	1088,03	96,5	162,83	398,8	124,03	95,96	5465,32	445,77	119,16	789,95	764,63
S	S6	T	39	523,23	914,66	93,15	103,11	470,92	392,19	53,07	5110,62	355,28	221,2	357,53	1324,04
S	S6	T	40	397,37	980,09	129,51	116,85	495,48	226,97	47,99	4756	261,15	42,47	546,75	412,24
S	S6	T	41	568,78	957,58	201,61	227,12	255,16	258,31	75,06	6491,65	314,54	74,64	711,9	906,67
S	S6	T	42	142,85	645,39	274,97	10	12	64,65	210,06	9254,81	369,41	114,3	831,5	2761,66
S	S6	S	43	103,66	1064,15	244,92	10	12	76,52	99,1	5895,79	190,03	85,5	950,82	365,49
S	S6	S	44	601,54	1086,17	185,92	117,14	511,64	451,46	158,22	8025,51	544,73	173,82	735,07	1045,56
S	S6	S	45	645,28	1171,31	256,34	1021,18	499,21	76,66	136,98	9417,24	490,93	119,21	624,81	750,05
S	S6	S	46	739,2	1169,73	100,35	273,28	489,26	149,03	90,4	7113,61	211,17	113,33	872,31	902,24
S	S7	T	47	252,78	1008,85	142,03	76,24	190,89	18,91	35,98	7203,85	312,24	102,96	658,22	1560,93
S	S7	T	48	609,61	1435,21	145,05	40,06	189,33	131,94	62,98	6485,58	173,13	41,42	847,24	1008,7
S	S7	T	49	1221,8	499,77	978,48	101,5	103,74	259,67	219,26	232,56	9731,16	475,94	193,32	626,52
S	S7	T	50	573,99	1209,98	139,63	68,16	280,3	340,94	78,25	7500,95	250,11	70,67	659,48	1001,13
S	S7	S	51	634,92	1591,06	148,5	36,83	646,95	1061,62	238,63	5581,6	254,54	37,74	812,19	809,71
S	S7	S	52	111,97	1589,72	247,87	125,77	249,85	157	202,93	7671,07	454,84	98,4	1374,32	2070,25
S	S7	S	53	943,84	1417,19	327,12	83,57	393,32	154,95	223,9	9887,54	446,19	124,26	946,64	918,62
S	S8	T	54	80,76	575,1	142,51	31,29	129,43	101,3	31,4	3590,3	209,05	50,12	843,09	287,42
S	S8	T	55	134,24	689,17	168,54	254,34	438,6	109,12	132,89	6125,16	295,05	39,84	968,6	2932,71
